model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,,63298.0,40400.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,91801,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419.0,42400.0,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841.0,43300.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244.0,46100.0,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,91801,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821.0,47100.0,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551.0,48100.0,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,91801,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055.0,51500.0,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298.0,40400.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,95403,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419.0,42400.0,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841.0,43300.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244.0,46100.0,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,95403,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821.0,47100.0,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551.0,48100.0,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,95403,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055.0,51500.0,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,41391.0,47300.0,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$716 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,CA
Model S,,36925.0,53100.0,"Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$820 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,16994.0,58800.0,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$923 /mo,85209,Cream Premium Interior with Oak Wood Décor,CA
Model S,,45284.0,47200.0,"Dedham, MA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$714 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,MA
Model S,,60507.0,48200.0,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$732 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,27828.0,49400.0,"Rogers, MN",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19'' Tempest Wheels,$754 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,MN
Model S,,25082.0,49700.0,"Orlando, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$759 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,32822.0,49900.0,"Orland Park, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$763 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,25039.0,50300.0,"Fort Lauderdale, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$770 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,38783.0,50400.0,"Libertyville, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$772 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,19821.0,50500.0,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,"19"" Sonic Carbon Slipstream Wheels",$773 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,MD
Model S,,29199.0,50700.0,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"19"" Sonic Carbon Slipstream Wheels",$777 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,47056.0,51100.0,"Matthews, NC",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$784 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,NC
Model S,,28249.0,51500.0,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19’’ Silver Wheels,$791 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,MN
